,SKU_NAME,FEED_DATE,CATEGORY,SUB_CATEGORY,ORDERED_REVENUE,ORDERED_UNITS,REP_OOS
194,B111S;CCLC,2019-06-28,1000 Inputs,1003 Computer Speakers,4044.32,368.0,3.06
195,B111S;CCLC,2019-06-29,1000 Inputs,1003 Computer Speakers,1835.33,167.0,3.11
196,B111S;CCLC,2019-06-30,1000 Inputs,1003 Computer Speakers,2033.15,185.0,3.21
197,B111S;CCLC,2019-07-01,1000 Inputs,1003 Computer Speakers,4275.11,389.0,2.84
198,B111S;CCLC,2019-07-02,1000 Inputs,1003 Computer Speakers,4363.03,397.0,2.42
199,B111S;CCLC,2019-07-03,1000 Inputs,1003 Computer Speakers,3890.46,354.0,2.49
200,B111S;CCLC,2019-07-04,1000 Inputs,1003 Computer Speakers,1549.59,141.0,4.55
201,B111S;CCLC,2019-07-05,1000 Inputs,1003 Computer Speakers,2989.28,272.0,3.82
202,B111S;CCLC,2019-07-06,1000 Inputs,1003 Computer Speakers,1714.44,156.0,2.62
203,B111S;CCLC,2019-07-07,1000 Inputs,1003 Computer Speakers,1560.58,142.0,4.2
204,B111S;CCLC,2019-07-08,1000 Inputs,1003 Computer Speakers,3604.72,328.0,3.6
205,B111S;CCLC,2019-07-09,1000 Inputs,1003 Computer Speakers,4461.94,406.0,3.34
206,B111S;CCLC,2019-07-10,1000 Inputs,1003 Computer Speakers,3879.47,353.0,3.67
207,B111S;CCLC,2019-07-11,1000 Inputs,1003 Computer Speakers,4099.27,373.0,4.12
208,B111S;CCLC,2019-07-12,1000 Inputs,1003 Computer Speakers,3912.44,356.0,3.5
209,B111S;CCLC,2019-07-13,1000 Inputs,1003 Computer Speakers,1945.23,177.0,4.04
210,B111S;CCLC,2019-07-14,1000 Inputs,1003 Computer Speakers,2176.02,198.0,4.91
211,B111S;CCLC,2019-07-15,1000 Inputs,1003 Computer Speakers,8187.55,745.0,2.37
212,B111S;CCLC,2019-07-16,1000 Inputs,1003 Computer Speakers,7846.86,714.0,2.8
213,B111S;CCLC,2019-07-17,1000 Inputs,1003 Computer Speakers,3582.74,326.0,3.06
214,B111S;CCLC,2019-07-18,1000 Inputs,1003 Computer Speakers,3659.67,333.0,4.56
215,B111S;CCLC,2019-07-19,1000 Inputs,1003 Computer Speakers,3395.91,309.0,4.35
216,B111S;CCLC,2019-07-20,1000 Inputs,1003 Computer Speakers,1494.64,136.0,3.73
217,B111S;CCLC,2019-07-21,1000 Inputs,1003 Computer Speakers,1573.35,165.0,3.05
218,B111S;CCLC,2019-07-22,1000 Inputs,1003 Computer Speakers,4057.22,428.0,3.72
219,B111S;CCLC,2019-07-23,1000 Inputs,1003 Computer Speakers,4190.08,442.0,3.13
220,B111S;CCLC,2019-07-24,1000 Inputs,1003 Computer Speakers,3312.01,349.0,5.38
221,B111S;CCLC,2019-07-25,1000 Inputs,1003 Computer Speakers,4023.76,424.0,3.78
222,B111S;CCLC,2019-07-26,1000 Inputs,1003 Computer Speakers,3323.5,350.0,2.25
223,B111S;CCLC,2019-07-27,1000 Inputs,1003 Computer Speakers,1825.08,192.0,2.67
224,B111S;CCLC,2019-07-28,1000 Inputs,1003 Computer Speakers,1169.33,117.0,2.99
225,B111S;CCLC,2019-07-29,1000 Inputs,1003 Computer Speakers,3418.08,342.0,3.56
226,B111S;CCLC,2019-07-30,1000 Inputs,1003 Computer Speakers,4515.48,452.0,3.88
227,B111S;CCLC,2019-07-31,1000 Inputs,1003 Computer Speakers,3845.02,368.0,3.72
228,B111S;CCLC,2019-08-01,1000 Inputs,1003 Computer Speakers,3259.59,309.0,2.9
229,B111S;CCLC,2019-08-02,1000 Inputs,1003 Computer Speakers,3383.89,321.0,2.83
230,B111S;CCLC,2019-08-03,1000 Inputs,1003 Computer Speakers,1233.18,117.0,2.37
231,B111S;CCLC,2019-08-04,1000 Inputs,1003 Computer Speakers,1960.07,203.0,3.1
232,B111S;CCLC,2019-08-05,1000 Inputs,1003 Computer Speakers,3823.48,404.0,2.98
233,B111S;CCLC,2019-08-06,1000 Inputs,1003 Computer Speakers,4213.06,444.0,5.26
